time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-07-07,22.1,27.0,32.1,53
2025-07-08,23.9,27.4,33.4,63
2025-07-09,19.3,21.3,23.5,61
2025-07-10,18.3,19.3,19.8,63
2025-07-11,16.9,20.7,24.2,3
2025-07-12,19.5,22.7,26.1,3
2025-07-13,18.8,22.2,26.1,51
