datetime,tempmin,temp,tempmax
2025-08-25,19.3,23.2,28.4
2025-08-26,17.0,21.7,26.3
2025-08-27,15.3,19.5,23.9
2025-08-28,13.7,19.5,25.8
2025-08-29,15.9,19.3,24.9
2025-08-30,12.6,18.3,23.4
2025-08-31,13.5,18.7,23.8
