datetime,tempmin,temp,tempmax
2025-08-17,20.2,25.3,32.4
2025-08-18,16.4,19.0,21.3
2025-08-19,14.0,17.5,20.9
2025-08-20,13.8,15.9,18.4
2025-08-21,13.5,16.9,19.9
2025-08-22,,,
2025-08-23,,,
