time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-08-04,17.0,23.3,30.4,3
2025-08-05,18.2,20.9,23.3,3
2025-08-06,16.7,20.2,24.7,3
2025-08-07,17.1,21.6,26.1,3
2025-08-08,15.8,22.1,27.9,3
2025-08-09,15.4,21.7,27.1,0
2025-08-10,17.7,24.5,31.3,3
