datetime,tempmin,temp,tempmax
2025-07-07,22.1,27.0,32.1
2025-07-08,23.9,27.4,33.4
2025-07-09,19.3,21.3,23.5
2025-07-10,18.3,19.3,19.8
2025-07-11,16.9,20.7,24.2
2025-07-12,19.5,22.7,26.1
2025-07-13,18.8,22.2,26.1
