time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-09-04,13.9,19.8,26.2,3.0
2025-09-05,18.5,22.1,27.2,63.0
2025-09-06,18.6,22.9,27.6,63.0
2025-09-07,15.7,16.9,18.3,63.0
2025-09-08,,,,
2025-09-09,,,,
2025-09-10,,,,
