datetime,tempmin,temp,tempmax
2025-09-04,13.9,19.8,26.2
2025-09-05,18.5,22.1,27.2
2025-09-06,18.6,22.9,27.6
2025-09-07,15.7,16.9,18.3
2025-09-08,,,
2025-09-09,,,
2025-09-10,,,
