time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-06-30,17.7,24.3,29.6,3
2025-07-01,21.8,26.3,32.2,61
2025-07-02,22.1,26.4,31.1,61
2025-07-03,21.5,26.4,32.2,53
2025-07-04,18.3,22.9,27.5,2
2025-07-05,17.3,23.4,28.3,3
2025-07-06,20.8,27.1,33.4,51
