time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-07-21,18.2,21.8,25.1,1
2025-07-22,14.7,20.2,25.8,3
2025-07-23,16.0,22.2,27.7,3
2025-07-24,19.4,25.4,32.6,3
2025-07-25,22.5,27.5,34.3,63
2025-07-26,19.7,23.1,25.6,3
2025-07-27,17.8,21.7,27.0,63
