time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-08-15,19.4,22.6,24.9,1.0
2025-08-16,16.5,22.8,28.3,3.0
2025-08-17,20.2,25.3,32.4,63.0
2025-08-18,16.4,19.0,21.3,3.0
2025-08-19,14.0,17.5,20.9,3.0
2025-08-20,,,,
2025-08-21,,,,
