time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-08-18,16.4,19.0,21.3,3
2025-08-19,14.0,17.5,20.9,3
2025-08-20,13.8,15.9,18.4,61
2025-08-21,13.5,16.9,19.9,61
2025-08-22,13.8,19.7,27.0,3
2025-08-23,16.1,22.6,29.6,3
2025-08-24,17.2,22.1,27.3,3
