time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-08-09,15.4,21.7,27.1,0.0
2025-08-10,17.7,24.5,31.3,3.0
2025-08-11,20.9,27.7,34.7,3.0
2025-08-12,22.1,28.0,34.5,3.0
2025-08-13,21.2,25.8,32.4,65.0
2025-08-14,,,,
2025-08-15,,,,
