time,temperature_2m_min,temperature_2m_mean,temperature_2m_max,weathercode
2025-08-23,16.1,22.6,29.6,3.0
2025-08-24,17.2,22.1,27.3,3.0
2025-08-25,19.3,23.2,28.4,51.0
2025-08-26,17.0,21.7,26.3,3.0
2025-08-27,15.3,19.5,23.9,51.0
2025-08-28,,,,
2025-08-29,,,,
