datetime,tempmin,temp,tempmax
2025-08-22,13.8,19.7,27.0
2025-08-23,16.1,22.6,29.6
2025-08-24,17.2,22.1,27.3
2025-08-25,19.3,23.2,28.4
2025-08-26,17.0,21.7,26.3
2025-08-27,,,
2025-08-28,,,
