datetime,tempmin,temp,tempmax
2025-09-01,14.4,18.5,23.6
2025-09-02,13.8,19.1,24.6
2025-09-03,14.4,20.3,26.5
2025-09-04,13.9,19.8,26.2
2025-09-05,18.5,22.1,27.2
2025-09-06,,,
2025-09-07,,,
